INFO 2025-10-15 16:07:35,087 chat_api.rag_service ✅ RAG Service iniciado con estrategia: local
INFO 2025-10-15 16:09:31,337 chat_api.rag_service 🔍 Nueva consulta: Hola
INFO 2025-10-15 16:13:21,960 chat_api.rag_service 🔍 Nueva consulta: Hola
INFO 2025-10-15 16:17:06,754 chat_api.rag_service 🔍 Nueva consulta: hola
INFO 2025-10-15 16:24:54,724 chat_api.rag_service 🔍 Nueva consulta: Hola
INFO 2025-10-15 16:24:58,959 chat_api.rag_service 🔍 Nueva consulta: hola
INFO 2025-10-15 16:25:58,455 chat_api.rag_service 🔍 Nueva consulta: Hola
INFO 2025-10-15 16:29:13,203 chat_api.rag_service ✅ RAG Service iniciado con estrategia: local
INFO 2025-10-15 16:29:23,427 chat_api.rag_service 🔍 Nueva consulta: Hola
INFO 2025-10-15 16:29:45,521 chat_api.rag_service ✅ RAG Service iniciado con estrategia: local
INFO 2025-10-15 16:29:57,882 chat_api.rag_service ✅ RAG Service iniciado con estrategia: local
INFO 2025-10-15 16:30:06,551 chat_api.rag_service 🔍 Nueva consulta: asdfasf
INFO 2025-10-15 16:31:28,190 chat_api.rag_service ✅ RAG Service iniciado con estrategia: local
INFO 2025-10-15 16:31:37,461 chat_api.rag_service 🔍 Nueva consulta: Hola
INFO 2025-10-15 16:31:37,498 chat_api.rag_service 📊 Recuperados 0 documentos para: Hola...
INFO 2025-10-15 16:31:47,836 chat_api.rag_service 🔍 Nueva consulta: Cómo hago una reactualizacion de matricula
INFO 2025-10-15 16:31:47,850 chat_api.rag_service 📊 Recuperados 5 documentos para: Cómo hago una reactualizacion de matricula...
INFO 2025-10-15 16:31:47,850 chat_api.rag_service   1. Convalidaciones - Proceso Completo - Score: 51.342
INFO 2025-10-15 16:31:47,851 chat_api.rag_service   2. Matrícula por Excepción - Proceso Completo - Score: 32.364
INFO 2025-10-15 16:31:47,851 chat_api.rag_service   3. Pautas Generales de Matrícula - Información Completa - Score: 31.488
INFO 2025-10-15 16:31:47,851 chat_api.rag_service   4. Reactualización de Matrícula - Proceso Completo - Score: 29.591
INFO 2025-10-15 16:31:47,851 chat_api.rag_service   5. Levantamiento de Reserva - Proceso Completo - Score: 24.334
INFO 2025-10-15 16:31:47,851 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 16:31:47,851 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 16:32:32,197 chat_api.rag_service ⏱️ Tiempo de generación: 44.35s
INFO 2025-10-15 16:32:32,198 chat_api.rag_service ✅ Respuesta generada: 1231 caracteres
INFO 2025-10-15 16:37:43,347 chat_api.rag_service 🔍 Nueva consulta: Cuantos creditos cómo minimo tengo que llevar en cada semestre?
INFO 2025-10-15 16:37:43,376 chat_api.rag_service 📊 Recuperados 5 documentos para: Cuantos creditos cómo minimo tengo que llevar en c...
INFO 2025-10-15 16:37:43,376 chat_api.rag_service   1. Convalidaciones - Proceso Completo - Score: 48.407
INFO 2025-10-15 16:37:43,377 chat_api.rag_service   2. Matrícula por Excepción - Proceso Completo - Score: 26.391
INFO 2025-10-15 16:37:43,377 chat_api.rag_service   3. Pautas Generales de Matrícula - Información Completa - Score: 20.504
INFO 2025-10-15 16:37:43,377 chat_api.rag_service   4. Reserva de Matrícula - Proceso Completo - Score: 17.438
INFO 2025-10-15 16:37:43,377 chat_api.rag_service   5. Requisitos de Cursos - Reglamento Completo - Score: 17.135
INFO 2025-10-15 16:37:43,377 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 16:37:43,377 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 16:38:17,086 chat_api.rag_service ⏱️ Tiempo de generación: 33.71s
INFO 2025-10-15 16:38:17,087 chat_api.rag_service ✅ Respuesta generada: 1264 caracteres
INFO 2025-10-15 17:16:56,120 chat_api.rag_service 🔍 Nueva consulta: Hola, cómo realizo una matricula por excepcion
INFO 2025-10-15 17:16:56,149 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, cómo realizo una matricula por excepcion...
INFO 2025-10-15 17:16:56,149 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.146
INFO 2025-10-15 17:16:56,149 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.752
INFO 2025-10-15 17:16:56,149 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.479
INFO 2025-10-15 17:16:56,149 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 8.077
INFO 2025-10-15 17:16:56,149 chat_api.rag_service   5. Disposiciones Transitorias - Reglamento Completo - Score: 8.059
INFO 2025-10-15 17:16:56,150 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:16:56,150 chat_api.rag_service 🤖 Generando respuesta con Ollama...
ERROR 2025-10-15 17:18:56,254 chat_api.rag_service Error en Ollama: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)
ERROR 2025-10-15 17:18:56,254 chat_api.rag_service Error en generación: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)
INFO 2025-10-15 17:18:56,254 chat_api.rag_service ✅ Respuesta generada: 87 caracteres
INFO 2025-10-15 17:20:36,314 chat_api.rag_service 🔍 Nueva consulta: como hago una reactualizacion de matricula
INFO 2025-10-15 17:20:36,341 chat_api.rag_service 📊 Recuperados 5 documentos para: como hago una reactualizacion de matricula...
INFO 2025-10-15 17:20:36,341 chat_api.rag_service   1. Convalidaciones - Proceso Completo - Score: 51.347
INFO 2025-10-15 17:20:36,341 chat_api.rag_service   2. Matrícula por Excepción - Proceso Completo - Score: 32.373
INFO 2025-10-15 17:20:36,341 chat_api.rag_service   3. Pautas Generales de Matrícula - Información Completa - Score: 31.493
INFO 2025-10-15 17:20:36,341 chat_api.rag_service   4. Reactualización de Matrícula - Proceso Completo - Score: 29.584
INFO 2025-10-15 17:20:36,342 chat_api.rag_service   5. Levantamiento de Reserva - Proceso Completo - Score: 24.342
INFO 2025-10-15 17:20:36,342 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:20:36,342 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 17:21:25,540 chat_api.rag_service ⏱️ Tiempo de generación: 49.20s
INFO 2025-10-15 17:21:25,541 chat_api.rag_service ✅ Respuesta generada: 1054 caracteres
INFO 2025-10-15 17:22:00,488 chat_api.rag_service 🔍 Nueva consulta: que pasa si desapruebo un curso 3 veces o más?
INFO 2025-10-15 17:22:00,523 chat_api.rag_service 📊 Recuperados 5 documentos para: que pasa si desapruebo un curso 3 veces o más?...
INFO 2025-10-15 17:22:00,523 chat_api.rag_service   1. Convalidaciones - Proceso Completo - Score: 207.270
INFO 2025-10-15 17:22:00,523 chat_api.rag_service   2. Matrícula por Excepción - Proceso Completo - Score: 94.845
INFO 2025-10-15 17:22:00,523 chat_api.rag_service   3. Pautas Generales de Matrícula - Información Completa - Score: 91.596
INFO 2025-10-15 17:22:00,523 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 62.814
INFO 2025-10-15 17:22:00,523 chat_api.rag_service   5. Requisitos de Cursos - Reglamento Completo - Score: 58.359
INFO 2025-10-15 17:22:00,524 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:22:00,524 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 17:22:22,314 chat_api.rag_service ⏱️ Tiempo de generación: 21.79s
INFO 2025-10-15 17:22:22,314 chat_api.rag_service ✅ Respuesta generada: 443 caracteres
INFO 2025-10-15 17:23:50,673 chat_api.rag_service 🔍 Nueva consulta: donde descargo mi talon de pago?
INFO 2025-10-15 17:23:50,727 chat_api.rag_service 📊 Recuperados 0 documentos para: donde descargo mi talon de pago?...
INFO 2025-10-15 17:24:11,799 chat_api.rag_service 🔍 Nueva consulta: cómo convalido un curso?
